USNEWS美国大学2025计算机科学排名(本科),,,,
计算机科学排名,综合排名,学校,英文名,所在州
87,189,华盛顿州立大学,Washington State University,华盛顿州
100,148,科罗拉多州立大学,Colorado State University-Fort Collins,科罗拉多州
100,-,波莫纳学院,Pomona College,加利福尼亚州
100,109,圣地亚哥州立大学,San Diego State University,加利福尼亚州
100,76,史蒂文斯理工学院,Stevens Institute of Technology,新泽西州
100,-,斯沃斯莫尔学院,Swarthmore College,宾夕法尼亚州
100,-,美国空军学院,United States Air Force Academy,科罗拉多州
100,171,阿拉巴马大学,The University of Alabama,阿拉巴马州
100,144,马里兰大学巴尔的摩郡分校,University of Maryland-Baltimore County,马里兰州
100,109,密苏里大学,University of Missouri-Columbia,密苏里州
100,152,北卡罗来纳大学夏洛特分校,University of North Carolina at Charlotte,北卡罗来纳州
100,-,韦尔斯利学院,Wellesley College,马萨诸塞州
111,63,布兰迪斯大学,Brandeis University,马萨诸塞州
111,109,杨百翰大学,Brigham Young University-Provo,犹他州
111,-,巴克内尔大学,Bucknell University,宾夕法尼亚州
111,54,佛罗里达州立大学,Florida State University,佛罗里达州
111,148,密歇根理工大学,Michigan Technological University,密歇根州
111,84,新泽西理工大学,New Jersey Institute of Technology,新泽西州
111,-,圣荷西州立大学,San Jose State University,加利福尼亚州
111,63,圣克拉拉大学,Santa Clara University,加利福尼亚州
111,63,杜兰大学,Tulane University of Louisiana,路易斯安那州
111,189,阿肯色大学,University of Arkansas,阿肯色州
111,152,堪萨斯大学,University of Kansas,堪萨斯州
111,231,新墨西哥大学,University of New Mexico-Main Campus,新墨西哥州
111,132,俄克拉荷马大学,University of Oklahoma-Norman Campus,俄克拉荷马州
111,109,圣地亚哥大学,University of San Diego,加利福尼亚州
111,46,维克森林大学,Wake Forest University,北卡罗来纳州
126,73,纽约州立大学宾汉姆顿分校,Binghamton University,纽约州
126,-,加州州立理工大学波莫纳,California State Polytechnic University-Pomona,加利福尼亚州
126,-,加州州立大学洛杉矶分校,California State University-Los Angeles,加利福尼亚州
126,86,霍华德大学,Howard University,华盛顿特区
126,165,堪萨斯州立大学,Kansas State University,堪萨斯州
126,179,路易斯安那州立大学,Louisiana State University and Agricultural & Mechanical College,路易斯安那州
126,196,密苏里科技大学,Missouri University of Science and Technology,密苏里州
126,-,史密斯学院,Smith College,马萨诸塞州
126,98,天普大学,Temple University,宾夕法尼亚州
126,214,德克萨斯理工大学,Texas Tech University,德克萨斯州
126,152,辛辛那提大学,University of Cincinnati-Main Campus,俄亥俄州
