大学英文名称,学位,专业英文名称,所属院系,所属院系（英文）,招生网址,专业网址,所属院系网址,所属院系网址
Columbia University,PhD,Applied Mathematics,工程与应用科学研究生学院,,https://www.gradengineering.columbia.edu/graduate-admissions/application-requirements,https://www.apam.columbia.edu/applied-mathematics-graduate-programs,,
Columbia University,PhD,Mathematics,艺术与科学研究生院,,https://www.gsas.columbia.edu/content/mathematics,https://www.math.columbia.edu/programs-math/graduate-program/,,
Columbia University,MA,Mathematics with a Specialization in the Mathematics of Finance,艺术与科学研究生院,,https://www.gsas.columbia.edu/content/mathematics-specialization-mathematics-finance,https://www.math.columbia.edu/mafn/,,
Cornell University,Ph.D.,Applied Mathematics (Ph.D.) ,应用数学中心,,https://gradschool.cornell.edu/academics/fields-of-study/subject/applied-mathematics/applied-mathematics-phd-ithaca/,https://www.cam.cornell.edu/cam/academics/phd-program,,
Cornell University,Ph.D.,Mathematics (Ph.D.) ,文理学院,,https://gradschool.cornell.edu/academics/fields-of-study/subject/mathematics/mathematics-phd-ithaca/,https://math.cornell.edu/phd,,
University of Chicago,MS,Computational and Applied Mathematics,物理科学部,,https://voices.uchicago.edu/cammasters/prospectivestudents/,https://voices.uchicago.edu/cammasters/,,
University of Chicago,Ph.D,Computational and Applied Mathematics,物理科学部,,https://cam.uchicago.edu/academics/how-to-apply/,https://cam.uchicago.edu/academics/graduate-programs/phd-program/,,
University of Chicago,Joint  PhD,Ph. D. in Mathematics and Computer Science,物理科学部,,https://cs.uchicago.edu/academics/phd/joint-math-cs-phd/,https://cs.uchicago.edu/academics/phd/joint-math-cs-phd/,,
University of Chicago,Ph.D,Mathematics,物理科学部,,https://mathematics.uchicago.edu/graduate/mathematics-phd-program/how-to-apply/,https://mathematics.uchicago.edu/graduate/mathematics-phd-program/,,
University of Chicago,MS-PSD,Mathematics,物理科学部,,https://mspsd.uchicago.edu/application-information/,https://mspsd.uchicago.edu/,,
"University of California, Berkeley",Ph.D.,Applied Mathematics,数学系,,https://grad.berkeley.edu/program/applied-mathematics/,https://math.berkeley.edu/graduate/phd-program,,
"University of California, Berkeley",Ph.D,Mathematics,数学系,,https://grad.berkeley.edu/program/mathematics/,https://math.berkeley.edu/graduate/phd-program,,
"University of California, Berkeley",Ph.D.,Applied Science & Technology,应用科学与技术项目,,https://grad.berkeley.edu/program/applied-science-tech/,https://ast.berkeley.edu/,,
"University of California, Berkeley",Ph.D.,Logic & the Methodology of Science,逻辑与科学方法论小组,,https://grad.berkeley.edu/program/logic-the-methodology-of-science/,https://logic.berkeley.edu/,,
"University of California, Los Angeles",PHD,Mathematics,物理科学学院,,https://grad.ucla.edu/programs/physical-sciences/mathematics/,https://ww3.math.ucla.edu/overview-2/,,
"University of California, Los Angeles",MA,Mathematics,物理科学学院,,https://grad.ucla.edu/programs/physical-sciences/mathematics/,https://ww3.math.ucla.edu/overview-2/,,
Rice University,Ph.D.,Computational and Applied Mathematics,工程学院,,https://cmor.rice.edu/academics/graduate-programs/graduate-admissions,https://cmor.rice.edu/academics/graduate-programs/phd-program,,
Rice University,M.C.A.A.M.,The Professional Master's of Computational and Applied Mathematics,工程学院,,https://cmor.rice.edu/academics/graduate-programs/graduate-admissions,https://cmor.rice.edu/academics/graduate-programs/professional-masters-programs,,
Rice University,PHD,Mathematics,自然科学学院,,https://math.rice.edu/application-procedure,https://math.rice.edu/graduate-program,,
Dartmouth College,PHD,Mathematics,研究生院,,https://math.dartmouth.edu/graduate-students/appl-info/,https://math.dartmouth.edu/graduate-students/,,
Vanderbilt University,MA,Mathematics,文理学院,,https://as.vanderbilt.edu/math/graduate/info_for_prospective_students/,https://as.vanderbilt.edu/math/graduate/about/,,
Vanderbilt University,PHD,Mathematics,文理学院,,https://as.vanderbilt.edu/math/graduate/info_for_prospective_students/,https://as.vanderbilt.edu/math/graduate/about/,,
" 
University of Notre Dame",M.S.,Applied and Computational Mathematics ,理学院,,https://graduateschool.nd.edu/degree-programs/applied-and-computational-mathematics-and-statistics-ms---masters-professional/,https://acms.nd.edu/graduate/professional-masters-programs/,,
" 
University of Notre Dame",M.S.,Applied and Computational Mathematics ,理学院,,https://graduateschool.nd.edu/degree-programs/applied-and-computational-mathematics-and-statistics-ms---masters-professional/,https://acms.nd.edu/graduate/professional-masters-programs/,,
" 
University of Notre Dame",Ph.D.,Applied and Computational Mathematics and Statistics,理学院,,https://graduateschool.nd.edu/degree-programs/applied-and-computational-mathematics-and-statistics-phd---doctoral/,https://acms.nd.edu/graduate/phd-programs/,,
" 
University of Notre Dame",Ph.D.,Mathematics,理学院,,https://graduateschool.nd.edu/degree-programs/mathematics-phd---doctoral/,https://math.nd.edu/graduate/,,
"University of Michigan, Ann Arbor",Ph.D,Applied and Interdisciplinary Mathematics,文化、科学与艺术学院,,https://lsa.umich.edu/math/graduates/Admissions/applying.html,https://lsa.umich.edu/math/graduates/GraduateStudentHandbook/applied-and-interdisciplinary-mathematics--aim-.html,,
"University of Michigan, Ann Arbor",Ph.D,Mathematics,文化、科学与艺术学院,,https://lsa.umich.edu/math/graduates/Admissions/applying.html,https://lsa.umich.edu/math/graduates/GraduateStudentHandbook/ph-d-programs1.html,,
"University of Michigan, Ann Arbor",MS,Applied and Interdisciplinary Mathematics,文化、科学与艺术学院,,https://lsa.umich.edu/math/graduates/Admissions/applying1.html,https://lsa.umich.edu/math/graduates/GraduateStudentHandbook/aim-masters.html,,
"University of Michigan, Ann Arbor",MS,General Mathematics Master's Program,文化、科学与艺术学院,,https://lsa.umich.edu/math/graduates/Admissions/applying1.html,https://lsa.umich.edu/math/graduates/GraduateStudentHandbook/mathematics-master-s-degree.html,,
