大学英文名称,学位,专业英文名称,所属院系,所属院系（英文）,招生网址,专业网址,所属院系网址,专业类别
Cornell University,M.Eng.,Operations Research and Information Engineering ：Data Analytics (DA),工程学院,School of Operations Research and Information Engineering,https://gradschool.cornell.edu/academics/fields-of-study/subject/operations-research-and-information-engineering/operations-research-and-information-engineering-meng-ithaca/,https://www.orie.cornell.edu/orie/programs/meng-degree-ithaca,https://www.orie.cornell.edu/orie/,
Cornell University,M.Eng.,Operations Research and Information Engineering (M.Eng.) (Cornell NYC Tech),康奈尔科技学院,Cornell Tech,https://tech.cornell.edu/admissions/meng-application/,https://tech.cornell.edu/programs/masters-programs/master-in-operations-research-and-information-engineering/,https://tech.cornell.edu,
Cornell University,M.P.S.,Information Science (M.P.S.) , 计算与信息科学学院,Cornell Ann S. Bowers College of Computing and Information Science,https://gradschool.cornell.edu/academics/fields-of-study/subject/information-science/information-science-mps-ithaca/,https://infosci.cornell.edu/masters/mps,https://cis.cornell.edu,
Cornell University,Ph.D.,Information Science (Ph.D.) , 计算与信息科学学院,Cornell Ann S. Bowers College of Computing and Information Science,https://gradschool.cornell.edu/academics/fields-of-study/subject/information-science/information-science-phd-ithaca/,https://infosci.cornell.edu/phd,https://www.cis.cornell.edu/,
Cornell University,M.P.S.,Applied Statistics (Data Science) , 计算与信息科学学院,Cornell Ann S. Bowers College of Computing and Information Science,https://gradschool.cornell.edu/academics/fields-of-study/subject/statistics/applied-statistics-mps-as-ithaca/,https://stat.cornell.edu/academics/mps-data-science-and-applied-statistics,https://www.cis.cornell.edu/,
Cornell University,M.P.S.,Applied Statistics (Data Science) , 计算与信息科学学院,Cornell Ann S. Bowers College of Computing and Information Science,https://gradschool.cornell.edu/academics/fields-of-study/subject/statistics/applied-statistics-mps-as-ithaca/,https://stat.cornell.edu/academics/mps-data-science-and-applied-statistics,https://www.cis.cornell.edu/,
University of Chicago,MScA,Applied Data Science,物理科学部,Data Science Institute,https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/how-to-apply/,https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/,https://datascience.uchicago.edu,
University of Chicago,MS,Data Science ,物理科学部,Physical Sciences Division,https://codas.uchicago.edu/how-to-apply/,https://codas.uchicago.edu/academics/ms-data-science/,https://physicalsciences.uchicago.edu/,
University of Chicago,Ph.D,Data Science ,物理科学部,Data Science Institute,https://codas.uchicago.edu/how-to-apply/,https://codas.uchicago.edu/academics/phd-in-data-science/,https://dsi.uchicago.edu/,
"University of California, Berkeley",M.Eng,Data Science  ,电子工程和计算机科学系,College of Engineering,https://grad.berkeley.edu/program/electrical-engineering-computer-sciences-meng/,https://eecs.berkeley.edu/academics/graduate/industry-programs/meng/,https://engineering.berkeley.edu,
"University of California, Berkeley",MAna,Master of Analytics,工业工程与运筹学系,College of Engineering,https://grad.berkeley.edu/program/master-of-analytics-manlytx/,https://analytics.berkeley.edu/,https://engineering.berkeley.edu,
"University of California, Los Angeles",MENG,Data Science ,工程与应用科学学院,UCLA Samueli School of Engineering,https://grad.ucla.edu/programs/school-of-engineering-and-applied-science/engineering-master-of-engineering/,https://www.meng.ucla.edu/,https://samueli.ucla.edu,
"University of California, Los Angeles",M.A.S.D.S,Master of Applied Statistics and Data Science,物理科学学院,Department of Statistics and Data Science,https://grad.ucla.edu/programs/physical-sciences/statistics-and-data-science-department/statistics-master-of-applied-statistics-and-data-science/,https://master.stat.ucla.edu/,https://stat.ucla.edu/,
Rice University,MDS,Master of Data Science,工程学院,George R. Brown School of Engineering and Computing,https://cs.rice.edu/academics/graduate-programs/admission/graduate-program-application,https://cs.rice.edu/academics/graduate-programs/professional-master-data-science,https://engineering.rice.edu,
Vanderbilt University,MS,Data Science ,文理学院,Vanderbilt Data Science,https://www.vanderbilt.edu/datascience/msprogram/admissions/,https://www.vanderbilt.edu/datascience/msprogram/,https://www.vanderbilt.edu/datascience/,
" 
University of Notre Dame",PHD,PHD IN ANALYTICS,商学院,Mendoza College of Business,https://graduateschool.nd.edu/degree-programs/analytics-phd---doctoral/,https://mendoza.nd.edu/research-faculty/academic-departments/phd-analytics/,https://mendoza.nd.edu,
" 
University of Notre Dame",M.S.,Applied and Computational Mathematics ,理学院,College of Science,https://graduateschool.nd.edu/degree-programs/applied-and-computational-mathematics-and-statistics-ms---masters-professional/,https://acms.nd.edu/graduate/professional-masters-programs/,https://science.nd.edu/,
" 
University of Notre Dame",M.S.,Applied and Computational Mathematics ,理学院,College of Science,https://graduateschool.nd.edu/degree-programs/applied-and-computational-mathematics-and-statistics-ms---masters-professional/,https://acms.nd.edu/graduate/professional-masters-programs/,https://science.nd.edu/,
"University of Michigan, Ann Arbor",MENG,Data Science and Machine Learning,工程学院,College of Engineering,https://ece.engin.umich.edu/academics/graduate-programs/prospective-grad-students/apply-for-grad/apply-for-meng/,https://ece.engin.umich.edu/academics/graduate-programs/prospective-grad-students/about-the-master-of-engineering-meng-program/,https://engineering.umich.edu,
"University of Michigan, Ann Arbor",Ph.D,Industrial and Operations Engineering,工程学院,College of Engineering,https://ioe.engin.umich.edu/graduate/phd-program/phd-admissions-planning/,https://ioe.engin.umich.edu/graduate/phd-program/,https://engin.umich.edu,
"University of Michigan, Ann Arbor",MS,Industrial and Operations Engineering,工程学院,College of Engineering,https://ioe.engin.umich.edu/graduate/masters-program/masters-admissions-planning/,https://ioe.engin.umich.edu/graduate/masters-program/masters-program-curriculum/,https://engin.umich.edu,
"University of Michigan, Ann Arbor",MSE,Industrial and Operations Engineering,工程学院,College of Engineering,https://ioe.engin.umich.edu/graduate/masters-program/masters-admissions-planning/,https://ioe.engin.umich.edu/graduate/masters-program/masters-program-curriculum/,https://engin.umich.edu,
"University of Michigan, Ann Arbor",MS,Industrial and Operations Engineering,工程学院,College of Engineering,https://ioe.engin.umich.edu/graduate/masters-program/masters-admissions-planning/,https://ioe.engin.umich.edu/graduate/masters-program/masters-program-curriculum/,https://engin.umich.edu,
"University of Michigan, Ann Arbor",MSE,Industrial and Operations Engineering,工程学院,College of Engineering,https://ioe.engin.umich.edu/graduate/masters-program/masters-admissions-planning/,https://ioe.engin.umich.edu/graduate/masters-program/masters-program-curriculum/,https://www.engin.umich.edu,
"University of Michigan, Ann Arbor",Ph.D,Information,信息学院,School of Information,https://www.si.umich.edu/programs/phd-information/how-do-i-apply,https://www.si.umich.edu/programs/phd-information,https://www.si.umich.edu,
"University of Michigan, Ann Arbor",MS,Information,信息学院,School of Information,https://www.si.umich.edu/programs/master-science-information/how-do-i-apply,https://www.si.umich.edu/programs/master-science-information,https://www.si.umich.edu,
"University of Michigan, Ann Arbor",MS,Data Science ,文化、科学与艺术学院,College of Literature,https://lsa.umich.edu/stats/masters_students/prospective-masters-students/data-science-masters-application.html,https://lsa.umich.edu/stats/masters_students/mastersprograms/data-science-masters-program.html,https://lsa.umich.edu,
"University of North Carolina, Chapel Hill",MS,"MS program in Statistics, Analytics and Data Science (STANDS)",文理学院,Department of Statistics and Operations Research,https://gradschool.sites.unc.edu/statistics-and-operations-research/,https://stor.unc.edu/ms/program/,https://stor.unc.edu,
