大学英文名称,学位,专业英文名称,所属院系,所属院系（英文）,招生网址,专业网址,所属院系网址,所属院系网址
"University of California, San Diego",MS,COMPUTATIONAL SOCIAL SCIENCE,社会科学部,,https://css.ucsd.edu/masters/Prospectives.html,https://css.ucsd.edu/masters/index.html,,
"University of California, San Diego",PhD,COMPUTATIONAL SOCIAL SCIENCE,社会科学部,,https://css.ucsd.edu/phd-specialization/admissions.html,https://css.ucsd.edu/phd-specialization/index.html,,
"University of California, San Diego",PHD,Computational Biology and Data Science,医学院,,https://biomedsci.ucsd.edu/how-to-apply/index.html,https://biomedsci.ucsd.edu/training-areas/index.html,,
University of Southern California,M.S.,Communication Data Science,传播与新闻学院,,https://annenberg.usc.edu/admissions/graduate-applicants,https://annenberg.usc.edu/academics/communication-data-science-ms,,
University of Southern California,M.S.,MS IN BIOMEDICAL ENGINEERING – BIOMEDICAL DATA ANALYTICS,工程学院,,https://viterbigradadmission.usc.edu/programs/masters/msprograms/biomedical-engineering/ms-bme-biomedical-data-analytics/,https://viterbigradadmission.usc.edu/programs/masters/msprograms/biomedical-engineering/ms-bme-biomedical-data-analytics/,,
University of Southern California,M.S.,Master of Science in Communication Data Science,工程学院,,https://viterbigradadmission.usc.edu/programs/masters/msprograms/data-science/master-communication-data-science/,https://viterbigradadmission.usc.edu/programs/masters/msprograms/data-science/master-communication-data-science/,,
University of Southern California,M.S.,MS IN ENVIRONMENTAL DATA SCIENCE,工程学院,,https://viterbigradadmission.usc.edu/programs/masters/msprograms/data-science/ms-in-environmental-data-science/,https://viterbigradadmission.usc.edu/programs/masters/msprograms/data-science/ms-in-environmental-data-science/,,
University of Southern California,M.S.,Spatial Data Science,工程学院,,https://gis.usc.edu/admissions/#mssds,https://gis.usc.edu/programs/masters-spatial-data-science/,,
University of Southern California,M.S.,M.S. in Spatial Economics and Data Analysis,文理学院,,https://gis.usc.edu/admissions/#msseda,https://gis.usc.edu/programs/masters-spatial-economics-and-data-analysis/,,
University of Southern California,M.S.,Public Policy Data Science,公共政策学院,,https://priceschool.usc.edu/mppds/admission/,https://priceschool.usc.edu/mppds/,,
"University of California, Irvine",MENG,CIVIL AND ENVIRONMENTAL ENGINEERING,工程学院,,https://meng.eng.uci.edu/apply/#admission%20requirements,https://meng.eng.uci.edu/explore/#concentrations,,
Georgia Institute of Technology,MS,Master of Science in Urban Analytics,设计学院,,https://grad.gatech.edu/degree-programs/urban-analytics,https://planning.gatech.edu/master-science-urban-analytics,,
"University of California, Santa Barbara",MEDS,MASTER OF ENVIRONMENTAL DATA SCIENCE,环境科学与管理学院,,https://www.graddiv.ucsb.edu/graduate-programs/departments/environmental-science-management-bren-school,https://bren.ucsb.edu/masters-programs/master-environmental-data-science,,
New York University,MS,Data Science – Biomedical Informatics Track,文理研究生院,,https://gsas.nyu.edu/admissions/arc/programs/data-science.html,https://cds.nyu.edu/masters-in-data-science-tracks/,,
New York University,MS,Applied Statistics for Social Science Research (ASSR-MS),文化，教育和人类发展学院,,https://steinhardt.nyu.edu/degree/ms-applied-statistics-social-science-research/how-apply,https://steinhardt.nyu.edu/degree/ms-applied-statistics-social-science-research,,
New York University,MS/MPA,Applied Statistics for Social Science Research (MS) / Public and Nonprofit Management (MPA) - Dual Degree (ASSD-MS),文化，教育和人类发展学院,,https://steinhardt.nyu.edu/degree/ms-applied-statistics-mpa-public-and-nonprofit-management-and-policy/how-apply,https://steinhardt.nyu.edu/degree/ms-applied-statistics-mpa-public-and-nonprofit-management-and-policy,,
New York University,MS,Statistics and Computational Social Science,文化，教育和人类发展学院,,https://steinhardt.nyu.edu/degree/phd-statistics-and-computational-social-science/how-apply,https://steinhardt.nyu.edu/degree/phd-statistics-and-computational-social-science,,
"University of Wisconsin, Madison",M.S.,Psychology：DATA SCIENCE IN HUMAN BEHAVIOR,文理学院,,https://guide.wisc.edu/graduate/psychology/psychology-ms/psychology-data-science-human-behavior-ms/#admissionstext,https://datascience.psych.wisc.edu/,,
"University of Wisconsin, Madison",M.S.,"Biomedical Data Science, M.S.",医学和公共卫生学院,,https://guide.wisc.edu/graduate/biostatistics-medical-informatics/biomedical-data-science-ms/#admissionstext,https://biostat.wiscweb.wisc.edu/education/current-students/ms-bds/,,
"University of Wisconsin, Madison",Ph.D.,"Biomedical Data Science, Ph.D.",医学和公共卫生学院,,https://guide.wisc.edu/graduate/biostatistics-medical-informatics/biomedical-data-science-phd/#admissionstext,https://biostat.wiscweb.wisc.edu/education/current-students/phd-bds/,,
"University of Illinois, Urbana-Champaign",MS,statistics-analytics,文理学院,,https://predictive-analytics.illinois.edu/apply-online/,https://predictive-analytics.illinois.edu/,,
"University of Illinois, Urbana-Champaign",MS,statistics-analytics,文理学院,,https://predictive-analytics.illinois.edu/apply-online/,https://predictive-analytics.illinois.edu/,,
University of Washington,PHD,Bioengineering (PhD)：Data Science Option,工程学院,,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-O-BIOEN-00-41,https://bioe.uw.edu/academic-programs/phd/,,
University of Washington,PHD,Chemical Engineering (PhD)：Advanced Data Science Option,工程学院,,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-J-CHEM%20E-00-30,https://www.cheme.washington.edu/graduate_students/prosp_grad/program/ADS.html,,
University of Washington,PHD,Civil & Environmental Engineering - Data Science Option,工程学院,,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-J-CIV%20E-00-30,https://www.ce.washington.edu/current/phd/data-science-option,,
University of Washington,MSEE,Electrical Engineering (MSEE) - Seattle ：Data Science Option,工程学院,,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-J-E%20E-00-26,https://www.ece.uw.edu/academics/grad/,,
University of Washington,PHD,Electrical Engineering (PhD) - Seattle ：Data Science Option,工程学院,,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-J-E%20E-00-30,https://www.ece.uw.edu/academics/grad/,,
University of Washington,PHD,"Ph.D., Applied Mathematics: Advanced Data Science",文理学院,,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-C-AMATH-00-41,https://amath.washington.edu/phd-program,,
University of Washington,PHD,"Ph.D., Psychology: Data Science Option",文理学院,,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-C-PSYCH-00-41,https://psych.uw.edu/graduate/areas,,
University of Washington,PHD,Statistics (PhD)-Statistics in the Social Sciences,文理学院,,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-C-STAT-00-30,https://stat.uw.edu/academics/graduate/programs/phd,,
University of Washington,MS,Aquatic & Fishery Sciences (MS)： DATA SCIENCE TRACK,环境学院,,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-D-AFS-00-25,https://fish.uw.edu/students/graduate-program/,,
University of Washington,PHD,Aquatic & Fishery Sciences (PhD)： DATA SCIENCE TRACK,环境学院,,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-D-AFS-00-41,https://fish.uw.edu/students/graduate-program/,,
University of Washington,PHD,Earth and Space Sciences (PhD) ： DATA SCIENCE  TRACK,环境学院,,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-D-ESS-00-41,https://ess.uw.edu/education/graduate-program/,,
